index,param,value
327,side_detector_distance,0
328,map,10
328,traffic_density,10
328,side_detector_distance,0
331,map,10
331,traffic_density,10
331,side_detector_distance,0
333,map,10
333,traffic_density,10
333,side_detector_distance,0
334,map,10
334,traffic_density,10
334,side_detector_distance,0
337,map,10
337,traffic_density,10
337,side_detector_distance,0
338,map,10
338,traffic_density,10
338,side_detector_distance,0
341,map,10
341,traffic_density,3
341,side_detector_distance,0
343,map,10
343,traffic_density,10
343,side_detector_distance,0
344,map,10
344,traffic_density,10
344,side_detector_distance,0
348,map,10
348,traffic_density,10
348,side_detector_distance,0
353,map,10
353,traffic_density,8
353,side_detector_distance,0
355,map,10
355,traffic_density,10
355,side_detector_distance,0
356,map,10
356,traffic_density,10
356,side_detector_distance,0
357,map,10
357,traffic_density,10
357,side_detector_distance,0
363,map,10
363,traffic_density,10
363,side_detector_distance,0
364,map,10
364,traffic_density,10
364,side_detector_distance,0
366,map,10
366,traffic_density,10
366,side_detector_distance,0
367,map,10
367,traffic_density,10
367,side_detector_distance,0
368,map,10
368,traffic_density,8
368,side_detector_distance,0
369,map,10
369,traffic_density,10
369,side_detector_distance,0
374,map,10
374,traffic_density,10
374,side_detector_distance,0
375,map,10
375,traffic_density,10
375,side_detector_distance,0
384,map,10
384,traffic_density,10
384,side_detector_distance,0
387,map,10
387,traffic_density,10
387,side_detector_distance,0
389,map,10
389,traffic_density,10
389,side_detector_distance,0
390,map,10
390,traffic_density,10
390,side_detector_distance,0
392,map,10
392,traffic_density,10
392,side_detector_distance,0
395,map,10
395,traffic_density,10
395,side_detector_distance,0
396,map,10
396,traffic_density,10
396,side_detector_distance,0
402,map,10
402,traffic_density,9
402,side_detector_distance,0
403,map,10
403,traffic_density,10
403,side_detector_distance,0
404,map,10
404,traffic_density,10
404,side_detector_distance,0
405,map,10
405,traffic_density,10
405,side_detector_distance,0
406,map,10
406,traffic_density,10
406,side_detector_distance,0
408,map,10
408,traffic_density,10
408,side_detector_distance,0
413,map,10
413,traffic_density,10
413,side_detector_distance,0
