index,param,value
1156,traffic_density,10
1156,side_detector_distance,0
1157,map,10
1157,traffic_density,10
1157,side_detector_distance,0
1161,map,10
1161,traffic_density,10
1161,side_detector_distance,0
1163,map,10
1163,traffic_density,10
1163,side_detector_distance,0
1164,map,10
1164,traffic_density,10
1164,side_detector_distance,0
1166,map,10
1166,traffic_density,10
1166,side_detector_distance,0
1167,map,10
1167,traffic_density,10
1167,side_detector_distance,0
1169,map,10
1169,traffic_density,10
1169,side_detector_distance,0
1172,map,10
1172,traffic_density,10
1172,side_detector_distance,0
1173,map,10
1173,traffic_density,10
1173,side_detector_distance,0
1174,map,10
1174,traffic_density,10
1174,side_detector_distance,0
1175,map,10
1175,traffic_density,10
1175,side_detector_distance,0
1176,map,10
1176,traffic_density,10
1176,side_detector_distance,0
1177,map,10
1177,traffic_density,10
1177,side_detector_distance,0
1179,map,10
1179,traffic_density,10
1179,side_detector_distance,0
1181,map,10
1181,traffic_density,10
1181,side_detector_distance,0
1182,map,10
1182,traffic_density,10
1182,side_detector_distance,0
1183,map,10
1183,traffic_density,10
1183,side_detector_distance,0
1187,map,10
1187,traffic_density,10
1187,side_detector_distance,0
1188,map,10
1188,traffic_density,10
1188,side_detector_distance,0
1189,map,10
1189,traffic_density,10
1189,side_detector_distance,0
1195,map,10
1195,traffic_density,10
1195,side_detector_distance,0
1199,map,10
1199,traffic_density,10
1199,side_detector_distance,0
1201,map,10
1201,traffic_density,10
1201,side_detector_distance,0
1203,map,10
1203,traffic_density,10
1203,side_detector_distance,0
1205,map,10
1205,traffic_density,10
1205,side_detector_distance,0
1206,map,10
1206,traffic_density,10
1206,side_detector_distance,0
1210,map,10
1210,traffic_density,10
1210,side_detector_distance,0
1211,map,10
1211,traffic_density,10
1211,side_detector_distance,0
1213,map,10
1213,traffic_density,10
1213,side_detector_distance,0
1215,map,10
1215,traffic_density,10
1215,side_detector_distance,0
1216,map,10
1216,traffic_density,10
1216,side_detector_distance,0
1217,map,10
1217,traffic_density,10
1217,side_detector_distance,0
1220,map,10
1220,traffic_density,10
1220,side_detector_distance,0
1224,map,10
1224,traffic_density,10
1224,side_detector_distance,0
1225,map,10
1225,traffic_density,10
1225,side_detector_distance,0
1229,map,10
1229,traffic_density,10
1229,side_detector_distance,0
1233,map,10
1233,traffic_density,10
1233,side_detector_distance,0
1235,map,10
1235,traffic_density,10
1235,side_detector_distance,0
1236,map,10
1236,traffic_density,10
1236,side_detector_distance,0
1237,map,10
1237,traffic_density,10
1237,side_detector_distance,0
1240,map,10
1240,traffic_density,10
1240,side_detector_distance,0
1241,map,10
1241,traffic_density,10
1241,side_detector_distance,0
1245,map,10
1245,traffic_density,10
1245,side_detector_distance,0
1248,map,10
1248,traffic_density,10
1248,side_detector_distance,0
1250,map,10
1250,traffic_density,10
1250,side_detector_distance,0
1251,map,10
1251,traffic_density,10
1251,side_detector_distance,0
1255,map,10
1255,traffic_density,10
1255,side_detector_distance,0
1256,map,10
1256,traffic_density,10
1256,side_detector_distance,0
1262,map,10
1262,traffic_density,10
1262,side_detector_distance,0
1263,map,10
1263,traffic_density,10
1263,side_detector_distance,0
1264,map,7
1264,traffic_density,10
1264,side_detector_distance,0
1266,map,10
1266,traffic_density,7
1266,side_detector_distance,0
1268,map,10
1268,traffic_density,10
1268,side_detector_distance,0
1269,map,10
1269,traffic_density,10
1269,side_detector_distance,0
1271,map,10
1271,traffic_density,10
1271,side_detector_distance,0
1272,map,10
1272,traffic_density,10
1272,side_detector_distance,0
1275,map,10
1275,traffic_density,10
1275,side_detector_distance,0
1278,map,10
1278,traffic_density,7
1278,side_detector_distance,0
1281,map,10
1281,traffic_density,10
1281,side_detector_distance,0
1283,map,10
1283,traffic_density,10
1283,side_detector_distance,0
1285,map,10
1285,traffic_density,10
1285,side_detector_distance,0
1286,map,10
1286,traffic_density,10
1286,side_detector_distance,0
1288,map,10
1288,traffic_density,10
1288,side_detector_distance,0
1291,map,10
1291,traffic_density,10
1291,side_detector_distance,0
1292,map,10
1292,traffic_density,10
1292,side_detector_distance,0
1295,map,10
1295,traffic_density,10
1295,side_detector_distance,0
1297,map,10
1297,traffic_density,10
1297,side_detector_distance,0
1304,map,10
1304,traffic_density,10
1304,side_detector_distance,0
1306,map,10
1306,traffic_density,10
1306,side_detector_distance,0
1311,map,10
1311,traffic_density,10
1311,side_detector_distance,0
1313,map,10
1313,traffic_density,10
1313,side_detector_distance,0
1314,map,10
1314,traffic_density,10
1314,side_detector_distance,0
1315,map,10
1315,traffic_density,10
1315,side_detector_distance,0
1327,map,10
1327,traffic_density,10
1327,side_detector_distance,0
1330,map,10
1330,traffic_density,10
1330,side_detector_distance,0
1332,map,10
1332,traffic_density,9
1332,side_detector_distance,0
1338,map,10
1338,traffic_density,10
1338,side_detector_distance,0
1339,map,10
1339,traffic_density,10
1339,side_detector_distance,0
1341,map,10
1341,traffic_density,10
1341,side_detector_distance,0
1343,map,10
1343,traffic_density,10
1343,side_detector_distance,0
1344,map,10
1344,traffic_density,10
1344,side_detector_distance,0
1346,map,10
1346,traffic_density,10
1346,side_detector_distance,0
1347,map,10
1347,traffic_density,10
1347,side_detector_distance,0
1348,map,10
1348,traffic_density,10
1348,side_detector_distance,0
1350,map,10
1350,traffic_density,10
1350,side_detector_distance,0
1354,map,10
1354,traffic_density,10
1354,side_detector_distance,0
1355,map,10
1355,traffic_density,10
1355,side_detector_distance,0
1356,map,10
1356,traffic_density,10
1356,side_detector_distance,0
1363,map,10
1363,traffic_density,10
1363,side_detector_distance,0
1365,map,10
1365,traffic_density,10
1365,side_detector_distance,0
1368,map,10
1368,traffic_density,10
1368,side_detector_distance,0
1371,map,10
1371,traffic_density,10
1371,side_detector_distance,0
1373,map,10
1373,traffic_density,6
1373,side_detector_distance,0
1377,map,10
1377,traffic_density,10
1377,side_detector_distance,0
1378,map,10
1378,traffic_density,10
1378,side_detector_distance,0
1382,map,10
1382,traffic_density,10
1382,side_detector_distance,0
1383,map,10
1383,traffic_density,10
1383,side_detector_distance,0
1385,map,10
1385,traffic_density,10
1385,side_detector_distance,0
1387,map,10
1387,traffic_density,10
1387,side_detector_distance,0
1394,map,10
1394,traffic_density,10
1394,side_detector_distance,0
1395,map,10
1395,traffic_density,10
1395,side_detector_distance,0
1398,map,10
1398,traffic_density,8
1398,side_detector_distance,0
1402,map,10
1402,traffic_density,10
1402,side_detector_distance,0
1403,map,10
1403,traffic_density,10
1403,side_detector_distance,0
1405,map,10
1405,traffic_density,10
1405,side_detector_distance,0
1406,map,10
1406,traffic_density,7
1406,side_detector_distance,0
1408,map,10
1408,traffic_density,10
1408,side_detector_distance,0
1411,map,10
1411,traffic_density,10
1411,side_detector_distance,0
1412,map,10
1412,traffic_density,10
1412,side_detector_distance,0
1413,map,10
1413,traffic_density,6
1413,side_detector_distance,0
1414,map,10
1414,traffic_density,10
1414,side_detector_distance,0
1416,map,10
1416,traffic_density,10
1416,side_detector_distance,0
1421,map,10
1421,traffic_density,10
1421,side_detector_distance,0
1423,map,10
1423,traffic_density,10
1423,side_detector_distance,0
1427,map,10
1427,traffic_density,10
1427,side_detector_distance,0
1429,map,10
1429,traffic_density,10
1429,side_detector_distance,0
1430,map,10
1430,traffic_density,10
1430,side_detector_distance,0
1431,map,10
1431,traffic_density,10
1431,side_detector_distance,0
1432,map,10
1432,traffic_density,10
1432,side_detector_distance,0
1435,map,10
1435,traffic_density,10
1435,side_detector_distance,0
1437,map,10
1437,traffic_density,7
1437,side_detector_distance,0
1438,map,10
1438,traffic_density,10
1438,side_detector_distance,0
1440,map,10
1440,traffic_density,10
1440,side_detector_distance,0
1443,map,10
1443,traffic_density,10
1443,side_detector_distance,0
1445,map,10
1445,traffic_density,10
1445,side_detector_distance,0
1446,map,10
1446,traffic_density,10
1446,side_detector_distance,0
1447,map,10
1447,traffic_density,10
1447,side_detector_distance,0
1450,map,10
1450,traffic_density,10
1450,side_detector_distance,0
1451,map,10
1451,traffic_density,10
1451,side_detector_distance,0
1452,map,10
1452,traffic_density,10
1452,side_detector_distance,0
1453,map,10
1453,traffic_density,10
1453,side_detector_distance,0
1454,map,10
1454,traffic_density,10
1454,side_detector_distance,0
1456,map,10
1456,traffic_density,5
1456,side_detector_distance,0
1458,map,10
1458,traffic_density,8
1458,side_detector_distance,0
1469,map,10
1469,traffic_density,10
1469,side_detector_distance,0
1475,map,10
1475,traffic_density,10
1475,side_detector_distance,0
1480,map,10
1480,traffic_density,10
1480,side_detector_distance,0
1483,map,10
1483,traffic_density,10
1483,side_detector_distance,0
1493,map,10
1493,traffic_density,10
1493,side_detector_distance,0
1494,map,10
1494,traffic_density,10
1494,side_detector_distance,0
1498,map,10
1498,traffic_density,10
1498,side_detector_distance,0
1499,map,10
1499,traffic_density,8
1499,side_detector_distance,0
1500,map,10
1500,traffic_density,8
1500,side_detector_distance,0
1501,map,10
1501,traffic_density,10
1501,side_detector_distance,0
1502,map,10
1502,traffic_density,10
1502,side_detector_distance,0
1505,map,10
1505,traffic_density,10
1505,side_detector_distance,0
1507,map,10
1507,traffic_density,10
1507,side_detector_distance,0
1512,map,10
1512,traffic_density,10
1512,side_detector_distance,0
1514,map,10
1514,traffic_density,10
1514,side_detector_distance,0
1516,map,10
1516,traffic_density,10
1516,side_detector_distance,0
1518,map,10
1518,traffic_density,10
1518,side_detector_distance,0
1519,map,10
1519,traffic_density,10
1519,side_detector_distance,0
1522,map,10
1522,traffic_density,10
